frameIndex;frameTime;nCandidates;F0Cand[0];F0Cand[1];F0Cand[2];candVoicing[0];candVoicing[1];candVoicing[2];candScores[0];candScores[1];candScores[2];pcm_LOGenergy
1266;12.660000;3;1.299112e+02;8.660565e+01;5.744139e+01;8.867119e-01;7.941431e-01;6.021084e-01;1.718803e-02;9.458994e-03;4.893793e-03;-1.074648e+01
1267;12.670000;3;1.672009e+02;1.058361e+02;7.899168e+01;9.117594e-01;8.280002e-01;4.901731e-01;1.507777e-02;7.735308e-03;2.609653e-03;-1.082569e+01
1268;12.680000;3;2.919833e+02;9.965890e+01;6.562137e+01;9.101626e-01;9.020774e-01;6.425255e-01;2.881018e-02;2.643140e-02;7.240327e-03;-9.844256e+00
1269;12.690000;3;1.238895e+02;8.525886e+01;5.523250e+01;9.139330e-01;8.108814e-01;5.250388e-01;6.912933e-02;3.146043e-02;1.252681e-02;-8.137379e+00
1270;12.700000;2;1.048139e+02;7.314648e+01;0;8.943489e-01;6.081954e-01;0;6.243311e-02;1.683526e-02;0;-7.916236e+00
1271;12.710000;3;1.376564e+02;9.437013e+01;6.187978e+01;9.004313e-01;8.770536e-01;5.972857e-01;6.620175e-02;5.361378e-02;1.636799e-02;-7.924355e+00
1272;12.720000;3;1.222715e+02;8.398553e+01;5.094004e+01;9.138260e-01;8.410622e-01;5.134590e-01;7.469626e-02;4.049931e-02;1.322987e-02;-7.945646e+00
1273;12.730000;2;1.052213e+02;7.286187e+01;0;9.062418e-01;5.321866e-01;0;7.692989e-02;1.541814e-02;0;-7.658304e+00
1274;12.740000;3;1.406617e+02;9.533627e+01;6.393846e+01;9.134096e-01;8.870283e-01;5.744598e-01;8.375677e-02;6.419782e-02;1.704312e-02;-7.653974e+00
1275;12.750000;3;1.228713e+02;8.449129e+01;5.527290e+01;9.083893e-01;8.479915e-01;5.468064e-01;8.952972e-02;5.395675e-02;1.809797e-02;-7.482439e+00
1276;12.760000;2;1.074445e+02;7.335680e+01;0;9.081739e-01;6.344615e-01;0;1.102415e-01;2.769353e-02;0;-7.223012e+00
1277;12.770000;3;1.419016e+02;9.689410e+01;6.445840e+01;8.905441e-01;8.526642e-01;6.768880e-01;9.978102e-02;7.412738e-02;3.380134e-02;-7.170186e+00
1278;12.780000;3;1.243692e+02;8.478239e+01;5.571994e+01;9.157323e-01;8.334348e-01;6.314941e-01;1.188143e-01;6.010988e-02;2.716975e-02;-7.105134e+00
1279;12.790000;2;1.096606e+02;7.670402e+01;0;9.013923e-01;5.411440e-01;0;8.598429e-02;1.847795e-02;0;-7.248814e+00
1280;12.800000;2;9.758721e+01;6.550216e+01;0;9.084845e-01;6.063567e-01;0;1.054587e-01;2.451739e-02;0;-7.098859e+00
1281;12.810000;3;1.271182e+02;8.662066e+01;5.726740e+01;9.086269e-01;8.040727e-01;5.890392e-01;1.152896e-01;5.376673e-02;2.563352e-02;-7.033559e+00
1282;12.820000;3;1.144258e+02;8.140752e+01;5.003215e+01;8.968329e-01;7.516791e-01;4.917405e-01;9.804871e-02;4.073518e-02;1.990203e-02;-7.099349e+00
1283;12.830000;2;9.983217e+01;6.674751e+01;0;8.942044e-01;5.991262e-01;0;1.005038e-01;2.652421e-02;0;-7.105091e+00
1284;12.840000;3;1.341609e+02;9.206699e+01;5.921262e+01;9.014176e-01;8.052282e-01;6.136611e-01;9.961471e-02;5.041929e-02;2.541875e-02;-7.164373e+00
1285;12.850000;3;1.191549e+02;8.295313e+01;5.132288e+01;9.097898e-01;8.052915e-01;6.093400e-01;1.044519e-01;4.839350e-02;2.411975e-02;-7.229100e+00
1286;12.860000;2;1.067315e+02;7.410393e+01;0;8.812745e-01;5.871108e-01;0;8.399697e-02;2.415316e-02;0;-7.079181e+00
1287;12.870000;3;2.815323e+02;9.575687e+01;6.445476e+01;9.019860e-01;8.976643e-01;6.388921e-01;1.044329e-01;1.000227e-01;2.834580e-02;-7.079010e+00
